class_id,class_name_raw,class_name_clean,sci_name,taxonomy,matched,Mass,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Hand-Wing.Index,Tail.Length,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Migration,Range.Size,family,order
89,089.Hooded_Merganser,Hooded Merganser,Lophodytes cucullatus,BirdLife,True,613.8,39.6,27.6,8.3,9.3,29.2,186.6,50.9,85.6,Wetland,Carnivore,Aquatic predator,Aquatic,3.0,5510396.5,Anatidae,Anseriformes
90,090.Red_breasted_Merganser,Red breasted Merganser,Mergus serrator,BirdLife,True,1015.2,65.0,42.8,8.2,10.6,45.5,233.6,49.3,76.2,Wetland,Carnivore,Aquatic predator,Aquatic,3.0,23632905.44,Anatidae,Anseriformes
91,091.Mockingbird,Mockingbird,Mimus polyglottos,BirdLife,True,48.5,22.1,12.2,4.6,5.3,32.2,112.3,20.6,117.6,Shrubland,Omnivore,Omnivore,Generalist,3.0,10145517.51,Mimidae,Passeriformes
92,092.Nighthawk,Nighthawk,Chordeiles minor,BirdLife,True,79.3,12.7,6.1,3.3,2.7,16.7,192.8,60.7,104.0,Grassland,Carnivore,Invertivore,Aerial,3.0,13037233.58,Caprimulgidae,Caprimulgiformes
93,093.Clark_Nutcracker,Clark Nutcracker,Nucifraga columbiana,BirdLife,True,129.8,44.3,35.4,11.6,12.3,36.7,191.0,32.2,112.0,Forest,Omnivore,Omnivore,Insessorial,2.0,2287629.4,Corvidae,Passeriformes
94,094.White_breasted_Nuthatch,White breasted Nuthatch,Sitta carolinensis,BirdLife,True,21.0,19.1,12.2,4.0,4.2,18.5,88.6,31.2,48.8,Forest,Omnivore,Omnivore,Insessorial,1.0,8811748.35,Sittidae,Passeriformes
95,095.Baltimore_Oriole,Baltimore Oriole,Icterus galbula,BirdLife,True,32.8,21.1,13.3,5.0,6.4,23.4,92.1,27.4,73.3,Forest,Omnivore,Invertivore,Insessorial,3.0,4604558.64,Icteridae,Passeriformes
96,096.Hooded_Oriole,Hooded Oriole,Icterus cucullatus,BirdLife,True,24.3,21.2,13.9,4.3,5.2,21.6,83.4,20.0,91.4,Woodland,Omnivore,Omnivore,Insessorial,2.0,1181319.94,Icteridae,Passeriformes
97,097.Orchard_Oriole,Orchard Oriole,Icterus fuertesi,BirdLife,True,19.0,17.3,11.5,4.1,4.7,20.3,73.0,25.4,68.0,Forest,Carnivore,Invertivore,Insessorial,3.0,26586.03,Icteridae,Passeriformes
98,098.Scott_Oriole,Scott Oriole,Icterus parisorum,BirdLife,True,36.5,24.0,15.8,5.3,6.3,22.7,98.9,24.5,87.2,Shrubland,Carnivore,Invertivore,Insessorial,2.0,1741688.63,Icteridae,Passeriformes
99,099.Ovenbird,Ovenbird,Seiurus aurocapilla,BirdLife,True,18.8,15.1,8.9,3.6,4.1,22.3,73.2,24.9,50.4,Forest,Carnivore,Invertivore,Terrestrial,3.0,5222797.22,Parulidae,Passeriformes
100,100.Brown_Pelican,Brown Pelican,Pelecanus occidentalis,BirdLife,True,3427.8,319.5,285.0,38.8,43.4,71.7,494.6,48.1,128.2,Marine,Carnivore,Aquatic predator,Aerial,1.0,1823742.36,Pelecanidae,Pelecaniformes
101,101.White_Pelican,White Pelican,Pelecanus erythrorhynchos,BirdLife,True,5608.5,319.8,296.8,39.6,38.8,115.9,561.0,44.9,146.2,Wetland,Carnivore,Aquatic predator,Aquatic,2.0,1206894.35,Pelecanidae,Pelecaniformes
102,102.Western_Wood_Pewee,Western Wood Pewee,Contopus sordidulus,BirdLife,True,13.1,16.4,9.2,6.4,4.1,13.8,82.6,33.5,60.2,Forest,Carnivore,Invertivore,Insessorial,3.0,6939803.44,Tyrannidae,Passeriformes
103,103.Sayornis,Sayornis,Sayornis saya,BirdLife,True,20.9,19.5,11.3,5.4,4.2,20.2,104.4,25.6,79.8,Forest,Carnivore,Invertivore,Insessorial,3.0,7204273.9,Tyrannidae,Passeriformes
104,104.American_Pipit,American Pipit,Anthus rubescens,BirdLife,True,20.7,14.5,9.4,3.1,3.1,21.2,85.0,28.4,67.6,Grassland,Carnivore,Invertivore,Terrestrial,3.0,12413847.38,Motacillidae,Passeriformes
105,105.Whip_poor_Will,Whip poor Will,Antrostomus vociferus,BirdLife,True,53.3,16.1,6.7,3.8,2.7,15.1,154.4,46.1,114.2,Forest,Carnivore,Invertivore,Generalist,3.0,3403564.97,Caprimulgidae,Caprimulgiformes
